2024-12-11	489480	키움제11호스팩	0.031	0.022	0.021	2027-11-26	NORMAL
2024-12-12	492220	KB제31호스팩	0.031	0.022	0.021	2027-11-27	NORMAL
2024-12-20	487720	키움제10호스팩	0.03	0.022	0.021	2027-12-05	NORMAL
2024-12-23	487360	신한제14호스팩	0.03	0.022	0.021	2027-12-08	NORMAL
2025-01-23	493790	유안타제17호스팩	0.03	0.022	0.021	2028-01-08	NORMAL
2025-03-20	498390	한화플러스제5호스팩	0.0283	0.022	0.021	2028-03-04	NORMAL
2025-05-29	496070	신한제16호스팩	0.0256	0.022	0.021	2028-05-13	NORMAL
2025-07-04	0037T0	KB제32호스팩	0.024	0.022	0.021	2028-06-18	NORMAL
2025-07-22	0004Y0	디비금융제14호스팩	0.0242	0.022	0.021	2028-07-06	NORMAL
2025-07-22	0041J0	엘에스스팩1호	0.0242	0.022	0.021	2028-07-06	NORMAL
2025-08-06	0041L0	하나35호스팩	0.0225	0.022	0.021	2028-07-21	NORMAL
2025-08-14	0041B0	교보18호스팩	0.0242	0.022	0.021	2028-07-29	NORMAL
2025-08-21	0044K0	삼성스팩10호	0.0242	0.022	0.021	2028-08-05	NORMAL
2025-09-30	0071M0	삼성스팩11호	0.0247	0.022	0.021	2028-09-14	NORMAL
2025-09-30	0072Z0	KB제33호스팩	0.0225	0.022	0.021	2028-09-14	NORMAL
